GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,HOME_TEAM_ID,VISITOR_TEAM_ID
0022400185,1610612737,ATL,Atlanta,1626204,Larry Nance Jr.,Larry,,,12.000000:31,5.0,5.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,13.0,0.0,1610612765,1610612737
0022400185,1610612737,ATL,Atlanta,1641723,Kobe Bufkin,Kobe,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,,1610612765,1610612737
0022400185,1610612737,ATL,Atlanta,1631243,Mouhamed Gueye,Mouhamed,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,,1610612765,1610612737
0022400185,1610612765,DET,Detroit,203501,Tim Hardaway Jr.,Tim,F,,29.000000:13,2.0,4.0,0.5,1.0,2.0,0.5,2.0,4.0,0.5,0.0,5.0,5.0,4.0,3.0,0.0,3.0,3.0,7.0,3.0,1610612765,1610612737
0022400185,1610612765,DET,Detroit,202699,Tobias Harris,Tobias,F,,30.000000:34,7.0,13.0,0.538,5.0,8.0,0.625,3.0,4.0,0.75,0.0,6.0,6.0,2.0,0.0,3.0,0.0,1.0,22.0,1.0,1610612765,1610612737
0022400185,1610612765,DET,Detroit,1630191,Isaiah Stewart,Isaiah,C,,32.000000:38,5.0,8.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,11.0,3.0,0.0,1.0,1.0,2.0,10.0,-3.0,1610612765,1610612737
0022400185,1610612765,DET,Detroit,1631093,Jaden Ivey,Jaden,G,,29.000000:30,7.0,13.0,0.538,1.0,4.0,0.25,3.0,7.0,0.429,2.0,1.0,3.0,3.0,1.0,3.0,4.0,4.0,18.0,-3.0,1610612765,1610612737
0022400185,1610612765,DET,Detroit,1630595,Cade Cunningham,Cade,G,,36.000000:16,8.0,17.0,0.471,1.0,4.0,0.25,5.0,5.0,1.0,1.0,10.0,11.0,13.0,1.0,1.0,7.0,2.0,22.0,3.0,1610612765,1610612737
0022400185,1610612765,DET,Detroit,1630194,Paul Reed,Paul,,,15.000000:06,2.0,6.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,5.0,-1.0,1610612765,1610612737
0022400185,1610612765,DET,Detroit,1627736,Malik Beasley,Malik,,,33.000000:32,8.0,14.0,0.571,3.0,9.0,0.333,3.0,5.0,0.6,2.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,22.0,-3.0,1610612765,1610612737
0022400185,1610612765,DET,Detroit,1631323,Simone Fontecchio,Simone,,,19.000000:34,3.0,6.0,0.5,1.0,4.0,0.25,4.0,5.0,0.8,1.0,4.0,5.0,1.0,1.0,0.0,1.0,1.0,11.0,5.0,1610612765,1610612737
0022400185,1610612765,DET,Detroit,1641842,Ronald Holland II,Ronald,,,13.000000:37,2.0,5.0,0.4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,1610612765,1610612737
0022400185,1610612765,DET,Detroit,1631111,Wendell Moore Jr.,Wendell,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,,1610612765,1610612737
0022400185,1610612765,DET,Detroit,1631204,Marcus Sasser,Marcus,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,,1610612765,1610612737
0022400185,1610612765,DET,Detroit,1631306,Cole Swider,Cole,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,,1610612765,1610612737
0022400186,1610612740,NOP,New Orleans,1627742,Brandon Ingram,Brandon,F,,26.000000:19,4.0,12.0,0.333,1.0,4.0,0.25,2.0,2.0,1.0,1.0,4.0,5.0,5.0,0.0,0.0,6.0,3.0,11.0,-20.0,1610612753,1610612740
0022400186,1610612740,NOP,New Orleans,1630526,Jeremiah Robinson-Earl,Jeremiah,F,,31.000000:33,4.0,12.0,0.333,0.0,2.0,0.0,4.0,4.0,1.0,2.0,2.0,4.0,0.0,3.0,0.0,3.0,3.0,12.0,-6.0,1610612753,1610612740
