Player Name,Matchup,Market,Odds
A. Jones,@ JAX,Over 92.5 Rush + Rec Yds,-114
A. Jones,@ JAX,Over 17.5 Rec Yds,-114
A. Jones,@ JAX,Over 17.5 Rec Yds,-114
T. Hockenson,@ JAX,Over 3.5 Receptions,-102
C. Kmet,VS NE,Over 2.5 Receptions,-102
C. Williams,VS NE,Over 21.5 Rush Yds,-114
D. Swift,VS NE,Over 93.5 Rush + Rec Yds,-113
H. Henry,@ CHI,Over 4.5 Receptions,+108
H. Henry,@ CHI,Over 4.5 Receptions,+108
H. Henry,@ CHI,Over 45.5 Rec Yds,-114
K. Boutte,@ CHI,Over 1.5 Receptions,-198
B. Mayfield,VS SF,Over 243.5 Pass Yds,-114
A. Kamara,VS ATL,Over 112.5 Rush + Rec Yds,-115
A. Kamara,VS ATL,Over 112.5 Rush + Rec Yds,-115
D. Hopkins,VS DEN,Over 51.5 Rec Yds,-115
J. Williams,@ KC,Over 61.5 Rush + Rec Yds,-115
J. Allen,@ IND,Over 21.5 Pass Compl,-114
J. Allen,@ IND,Over 32.5 Pass Att,-114
S. Darnold,@ JAX,Under 14.5 Rush Yds,-115
J. Jefferson,@ JAX,Over 95.5 Rush + Rec Yds,-120
T. Hockenson,@ JAX,Over 33.5 Rec Yds,-114
D. Maye,@ CHI,Over 27.5 Rush Yds,-114
B. Nix,@ KC,Over 238.5 Pass + Rush Yds,-115
B. Nix,@ KC,Over 238.5 Pass + Rush Yds,-115
T. McLaurin,VS PIT,Over 4.5 Receptions,-145
J. Daniels,VS PIT,Under 8.5 Rush Att,-125
R. Wilson,@ WAS,Over 3.5 Rush Att,-155
R. Wilson,@ WAS,Under 14.5 Rush Yds,-115
N. Harris,@ WAS,Over 63.5 Rush Yds,-115
B. Mayfield,VS SF,Over 34.5 Pass Att,-120
B. Mayfield,VS SF,Over 34.5 Pass Att,-120
B. Mayfield,VS SF,Under 12.5 Rush Yds,-110
B. Irving,VS SF,Over 7.5 Rush Att,-120
B. Irving,VS SF,Over 2.5 Receptions,+145
B. Irving,VS SF,Over 2.5 Receptions,+145
G. Kittle,@ TB,Over 4.5 Receptions,-120
G. Kittle,@ TB,Over 4.5 Receptions,-120
D. Samuel,@ TB,Under 4.5 Receptions,-150
D. Samuel,@ TB,Under 4.5 Receptions,-150
B. Purdy,@ TB,Under 31.5 Pass Att,-125
B. Purdy,@ TB,Under 31.5 Pass Att,-125
B. Purdy,@ TB,Under 21.5 Pass Compl,-130
B. Purdy,@ TB,Under 21.5 Pass Compl,-130
B. Purdy,@ TB,Over 3.5 Rush Att,-155
B. Purdy,@ TB,Over 3.5 Rush Att,-155
K. Cousins,@ NO,Over 1.5 Rush Att,-145
K. Cousins,@ NO,Over 1.5 Rush Att,-145
K. Cousins,@ NO,Under 1.5 Rush Yds,-120
K. Cousins,@ NO,Over 236.5 Pass + Rush Yds,-115
J. Watson,VS DEN,Over 15.5 Rec Yds,-120
J. Watson,VS DEN,Over 15.5 Rec Yds,-120
J. Watson,VS DEN,Over 1.5 Receptions,+100
J. Watson,VS DEN,Over 1.5 Receptions,+100
N. Gray,VS DEN,Over 1.5 Receptions,-160
S. Perine,VS DEN,Over 7.5 Rec Yds,-115
S. Perine,VS DEN,Over 7.5 Rec Yds,-115
M. Hardman,VS DEN,Over 8.5 Rec Yds,-120
K. Hunt,VS DEN,Over 72.5 Rush Yds,-115
K. Hunt,VS DEN,Over 18.5 Rush Att,-120
K. Hunt,VS DEN,Over 18.5 Rush Att,-120
K. Hunt,VS DEN,Under 1.5 Receptions,-105
K. Hunt,VS DEN,Over 9.5 Rec Yds,-115
K. Hunt,VS DEN,Over 84.5 Rush + Rec Yds,-120
R. Davis,@ IND,Over 19.5 Rush Yds,-115
R. Davis,@ IND,Over 19.5 Rush Yds,-115
R. Davis,@ IND,Over 5.5 Rush Att,+115
R. Davis,@ IND,Over 26.5 Rush + Rec Yds,-115
R. Davis,@ IND,Over 26.5 Rush + Rec Yds,-115
